race,year,driver,start_lap,last_lap_time
Great Britain,2025,HUL,21,70.769
Great Britain,2025,HUL,22,71.332
Great Britain,2025,HUL,23,70.923
Great Britain,2025,HUL,24,70.78
Great Britain,2025,HUL,25,70.924
Great Britain,2025,HUL,26,71.101
Great Britain,2025,HUL,27,71.448
Great Britain,2025,HUL,28,71.142
Great Britain,2025,HUL,29,72.593
Great Britain,2025,HUL,31,70.895
Great Britain,2025,HUL,32,71.075
Great Britain,2025,HUL,33,71.239
Great Britain,2025,HUL,34,71.002
Great Britain,2025,HUL,35,70.923
Great Britain,2025,HUL,36,70.948
Great Britain,2025,HUL,37,70.861
Great Britain,2025,HUL,38,70.802
Great Britain,2025,HUL,39,70.797
Great Britain,2025,HUL,40,70.906
Great Britain,2025,HUL,41,70.708
Great Britain,2025,HUL,44,71.041
Great Britain,2025,HUL,45,70.552
Great Britain,2025,HUL,46,70.168
Great Britain,2025,HUL,47,72.362
Great Britain,2025,HUL,48,70.453
Great Britain,2025,HUL,49,70.645
Great Britain,2025,HUL,50,70.257
Great Britain,2025,HUL,51,70.645
Great Britain,2025,HUL,52,70.162
Great Britain,2025,HUL,53,70.293
Great Britain,2025,HUL,54,69.945
Great Britain,2025,HUL,55,69.857
Great Britain,2025,HUL,56,70.188
Great Britain,2025,HUL,57,69.872
Great Britain,2025,HUL,58,69.459
Great Britain,2025,HUL,59,69.661
Great Britain,2025,HUL,60,69.46
Great Britain,2025,HUL,61,69.792
Great Britain,2025,HUL,62,69.742
Great Britain,2025,HUL,63,69.996
Great Britain,2025,HUL,64,71.67
Great Britain,2025,HUL,65,70.646
Hungary,2025,NOR,17,82.043
Hungary,2025,NOR,18,82.539
Hungary,2025,NOR,19,82.189
Hungary,2025,NOR,20,82.03
Hungary,2025,NOR,21,81.44
Hungary,2025,NOR,22,81.707
Hungary,2025,NOR,23,82.099
Hungary,2025,NOR,24,82.075
Hungary,2025,NOR,25,82.117
Hungary,2025,NOR,26,81.924
Hungary,2025,NOR,27,82.145
Hungary,2025,NOR,28,82.125
Hungary,2025,NOR,29,82.153
Hungary,2025,NOR,30,82.533
Hungary,2025,NOR,33,82.633
Hungary,2025,NOR,34,81.411
Hungary,2025,NOR,35,80.752
Hungary,2025,NOR,36,80.726
Hungary,2025,NOR,37,80.557
Hungary,2025,NOR,38,80.976
Hungary,2025,NOR,39,80.4
Hungary,2025,NOR,40,80.301
Hungary,2025,NOR,41,80.442
Hungary,2025,NOR,42,80.547
Hungary,2025,NOR,43,80.471
Hungary,2025,NOR,44,81.447
Hungary,2025,NOR,45,80.146
Hungary,2025,NOR,46,80.703
Hungary,2025,NOR,47,80.377
Hungary,2025,NOR,48,80.358
Hungary,2025,NOR,49,80.543
Hungary,2025,NOR,50,80.472
Hungary,2025,NOR,51,80.527
